question,sql_query,explanation
Get orderdetails with product vendor,"SELECT od.""orderNumber"", od.""productCode"", p.""productName"", p.""productVendor"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"";",Joins orderdetails and products on productCode to show which vendor supplied each ordered product.
Get payments with customer country,"SELECT p.""checkNumber"", p.""amount"", c.""customerName"", c.""country"" FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"";",Joins payments and customers on customerNumber to display the amount paid and the country of the customer who made the payment.
Count customers per country,"SELECT ""country"", COUNT(*) AS ""customerCount"" FROM customers GROUP BY ""country"" ORDER BY ""customerCount"" DESC;","Groups the customers table by the country column and uses the COUNT(*) aggregate function to calculate the number of customers per country, sorted in descending order."
Total payments per customer,"SELECT c.""customerNumber"", c.""customerName"", SUM(p.""amount"") AS ""totalPayments"" FROM customers c JOIN payments p ON c.""customerNumber"" = p.""customerNumber"" GROUP BY c.""customerNumber"", c.""customerName"" ORDER BY ""totalPayments"" DESC;","Joins customers and payments on customerNumber, groups by customer details, and sums the amount column using the SUM() aggregate to find each customer's total spending."
Number of orders per status,"SELECT ""status"", COUNT(*) AS ""orderCount"" FROM orders GROUP BY ""status"" ORDER BY ""orderCount"" DESC;","Groups the orders table by status and uses the COUNT(*) aggregate function to determine how many orders are in each status (Shipped, Cancelled, etc.)."
Products per product line,"SELECT ""productLine"", COUNT(*) AS ""productCount"" FROM products GROUP BY ""productLine"" ORDER BY ""productCount"" DESC;",Groups the products table by the productLine category and counts the number of individual catalog products in each line.
Employees per office,"SELECT o.""officeCode"", o.""city"", COUNT(e.""employeeNumber"") AS ""employeeCount"" FROM offices o LEFT JOIN employees e ON o.""officeCode"" = e.""officeCode"" GROUP BY o.""officeCode"", o.""city"" ORDER BY ""employeeCount"" DESC;","Performs a LEFT JOIN of offices with employees on officeCode, groups by office details, and counts the employee records to see staffing numbers per office location."
Total stock per product vendor,"SELECT ""productVendor"", SUM(""quantityInStock"") AS ""totalStock"" FROM products GROUP BY ""productVendor"" ORDER BY ""totalStock"" DESC;",Groups products by the productVendor supplier and computes the sum of the quantityInStock column to see the total inventory volume supplied by each vendor.
Average buy price per product line,"SELECT ""productLine"", ROUND(AVG(""buyPrice""), 2) AS ""averageBuyPrice"" FROM products GROUP BY ""productLine"" ORDER BY ""averageBuyPrice"" DESC;","Groups the product catalog by productLine and calculates the average buyPrice using AVG(), rounding the results to two decimal places."
Orders per customer,"SELECT c.""customerNumber"", c.""customerName"", COUNT(o.""orderNumber"") AS ""orderCount"" FROM customers c LEFT JOIN orders o ON c.""customerNumber"" = o.""customerNumber"" GROUP BY c.""customerNumber"", c.""customerName"" ORDER BY ""orderCount"" DESC;","Performs a LEFT JOIN between customers and orders on customerNumber, groups the data, and counts the matching orders to determine order frequency per customer (including those with 0 orders)."
Max MSRP per product line,"SELECT ""productLine"", MAX(""MSRP"") AS ""maxMSRP"" FROM products GROUP BY ""productLine"" ORDER BY ""maxMSRP"" DESC;",Groups products by productLine and uses the MAX() aggregate to find the highest Manufacturer's Suggested Retail Price within each category.
Min buy price per vendor,"SELECT ""productVendor"", MIN(""buyPrice"") AS ""minBuyPrice"" FROM products GROUP BY ""productVendor"" ORDER BY ""minBuyPrice"" ASC;",Groups products by productVendor and uses the MIN() aggregate to find the cheapest catalog buy price for each vendor.
Total number of customers,"SELECT COUNT(*) AS ""totalCustomers"" FROM customers;",Uses the COUNT(*) aggregate function on the customers table to get the total number of registered customers.
Total number of products,"SELECT COUNT(*) AS ""totalProducts"" FROM products;",Uses the COUNT(*) aggregate function on the products table to get the total number of items in the company catalog.
Total revenue from payments,"SELECT SUM(""amount"") AS ""totalRevenue"" FROM payments;",Applies the SUM() aggregate function to the amount column in the payments table to calculate total historical business revenue.
Average product price,"SELECT ROUND(AVG(""buyPrice""), 2) AS ""averageProductPrice"" FROM products;",Applies the AVG() aggregate function to the buyPrice column in the products table and rounds to two decimal places.
Max payment amount,"SELECT MAX(""amount"") AS ""maxPayment"" FROM payments;",Uses the MAX() aggregate function on the amount column in the payments table to find the single largest financial transaction.
Min payment amount,"SELECT MIN(""amount"") AS ""minPayment"" FROM payments;",Uses the MIN() aggregate function on the amount column in the payments table to find the single smallest payment transaction.
Count total orders,"SELECT COUNT(*) AS ""totalOrders"" FROM orders;",Applies the COUNT(*) aggregate function on the orders table to retrieve the total count of placed orders.
Total quantity in stock,"SELECT SUM(""quantityInStock"") AS ""totalQuantityInStock"" FROM products;",Sums the quantityInStock column across the entire products table to find the net physical inventory in stock.
Average MSRP,"SELECT ROUND(AVG(""MSRP""), 2) AS ""averageMSRP"" FROM products;","Calculates the average Manufacturer's Suggested Retail Price across all catalog items, rounded to 2 decimal places."
Number of employees,"SELECT COUNT(*) AS ""totalEmployees"" FROM employees;",Applies the COUNT(*) aggregate function on the employees table to find the total headcount of staff.
